transaction_id,source_id,account_id,transaction_date,amount,currency,transaction_type,merchant_name,merchant_category,status,country_code,natural_key_hash,is_duplicate,duplicate_of,ingestion_timestamp,ingestion_run_id
TXN-0018,657,ACC-1009,2024-01-03T04:58:35Z,80.98,JPY,debit,eBay,e-commerce,completed,US,c45af05efd352cd83f71d0e6b23b38ef,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0019,539,ACC-1008,2024-01-09T15:49:13Z,4807.61,USD,debit,Shell Gas,transportation,completed,US,b538f93e0f8066c3bd05a797a72a679b,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0020,640,ACC-1013,2024-01-11T13:19:13Z,3790.82,USD,credit,Zara,retail,completed,ES,a38c0f03030605e72c0543d6ec56a083,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0021,350,ACC-1006,2024-03-06T19:55:50Z,92.42,GBP,debit,Airbnb,travel,pending,US,d957b04bfec677f0d2145ec818d98c87,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0022,444,ACC-1017,2024-03-06T00:21:27Z,72.82,GBP,debit,ASOS,e-commerce,completed,GB,51c3d08938e060cc10fbe747991b1425,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0023,508,ACC-1015,2024-01-08T05:12:55Z,7142.06,USD,credit,TfL Oyster,transportation,completed,GB,8cd6693fd3a987ee2af4fa3ad8520934,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0024,650,ACC-1006,2024-03-24T22:33:57Z,181.06,EUR,debit,Shell Gas,transportation,completed,US,cfd0372db371b5cc5807a6c266440a3e,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0025,413,ACC-1009,2024-01-28T15:32:25Z,1793.33,CAD,debit,Hulu,entertainment,completed,US,3b0844d1847473a2eb35e281c50ab605,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0026,653,ACC-1005,2024-03-28T20:54:09Z,3759.32,USD,credit,Rewe,groceries,completed,DE,4199ad1554cc8231961c8e098cead6ad,0,,2026-09-12T17:48:56Z,run-20260912T174856-4972d8
TXN-0027,555,ACC-1006,2024-03-03T01:07:24Z,76.28,USD,debit,Bupa,health,completed,GB,17531ec4a1b47ed472a6f3fff7786493,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0028,446,ACC-1017,2024-02-10T18:21:45Z,1455.8,USD,credit,Leroy Merlin,home_and_garden,completed,FR,562ae1d54ad24a1bd092a3cb65f378b3,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0029,373,ACC-1020,2024-02-12T12:27:11Z,1947.53,EUR,credit,Shell Gas,transportation,completed,US,82c853358bd23f2634bf6371e33e2700,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0030,564,ACC-1017,2024-01-18T04:56:40Z,4393.74,EUR,credit,Spotify,entertainment,pending,US,90f47a3b728e2e30488d1f3d25dac928,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0031,422,ACC-1001,2024-02-17T20:22:04Z,532.6,USD,debit,John Lewis,retail,completed,GB,b73769802d7c4162c3e47c844dc66edd,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0032,546,ACC-1016,2024-03-08T23:22:41Z,129.83,JPY,debit,Wise,transfer,completed,GB,a92cd9f4cc30236c21202f9f63ca1536,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0033,410,ACC-1001,2024-02-05T10:42:45Z,6139.83,EUR,credit,Walgreens,health,pending,US,6d357489aa2873112a50bd73176f3fa6,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0034,381,ACC-1008,2024-03-02T02:05:01Z,102.71,EUR,debit,AMC Theaters,entertainment,completed,US,d74399ab41ec34198b1dec6c11276398,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0035,353,ACC-1011,2024-02-22T08:08:04Z,7912.1,EUR,credit,Airbnb,travel,completed,US,71e46b79bd64c83321da27cbec0b368a,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0036,484,ACC-1006,2024-01-08T01:31:38Z,1382.73,USD,debit,Hilton Hotels,travel,completed,US,61a23bec65a9eae847268957332b8088,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0037,387,ACC-1018,2024-02-27T08:16:26Z,4320.65,GBP,credit,B&Q,home_and_garden,failed,GB,c417fb134cd0eed4c70c4eb11a0c2dc0,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0038,406,ACC-1018,2024-03-25T06:46:03Z,27.96,EUR,debit,BACS Credit,payroll,completed,GB,57b0229191f2deff10e3d82308876193,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0039,542,ACC-1008,2024-03-05T07:18:08Z,6749.93,AUD,credit,Zalando,e-commerce,completed,DE,057f2f8beeb1204bb5866efa5e20e3b9,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0040,598,ACC-1005,2024-01-29T22:42:36Z,7071.68,USD,credit,AMC Theaters,entertainment,reversed,US,24782a7451fe68c0dab549434906580d,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0041,479,ACC-1010,2024-02-03T16:03:16Z,84.13,EUR,debit,IKEA,retail,completed,GB,416cd792517367781eac71b526be1070,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0042,357,ACC-1006,2024-01-23T20:14:39Z,7172.05,USD,credit,CVS Pharmacy,health,completed,US,c3460b146286ad69133dabfc8b1e4fae,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0043,415,ACC-1006,2024-01-03T13:05:31Z,2698.43,USD,debit,Xbox Game Pass,entertainment,completed,US,352a5cea2755cff8d4035774a0ddb3c1,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0044,481,ACC-1015,2024-02-18T01:11:47Z,4922.41,USD,credit,Netflix,entertainment,completed,US,03b9a4362dcdc4f90640f2e75aebd001,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0045,660,ACC-1014,2024-02-19T02:36:44Z,127.6,CHF,debit,Gym Membership,health,completed,US,077f7fe72fc3065f0840925b7d23def9,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0046,629,ACC-1002,2024-03-17T18:03:49Z,356.87,USD,debit,Costa Coffee,food_and_beverage,reversed,GB,0d71aafc129fe9699a1d88422588592c,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0047,654,ACC-1008,2024-02-05T19:05:19Z,44.05,USD,debit,Uber,transportation,completed,US,ac7f5f33a9bd5aa4b646f394299c1bcd,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0048,591,ACC-1011,2024-03-07T13:35:33Z,3707.42,USD,credit,Zalando,e-commerce,completed,DE,578d35f5a037d0cdaeb4acb252626fe8,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0049,416,ACC-1006,2024-03-16T13:45:16Z,5997.14,USD,credit,Amazon,e-commerce,pending,US,4da50da3fbe8381182086244e18b1fe0,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0050,433,ACC-1019,2024-02-08T06:14:33Z,56.19,JPY,debit,Zara,retail,completed,ES,b76d99eb56c97ee8ed1acfae9f0980aa,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
